,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
EBBSDEPF  Index,0.06931275590444995,0.033471877490909775,0.16054653549176198,0.09386117104092118,0.0418403228764049,0.047835517771479284,0.44686818057592703,7.164028481417917,7.164028481417917
CPI XYOY  Index,0.04332759266449766,0.01451224719622427,0.07729016265601674,0.0266980448720736,0.0811109460361846,0.07546884530487258,0.31840783872986944,5.10459890526918,12.268627386687097
DU1  Index,0.02396880184938566,0.08830718743206745,0.035264745291866614,0.03647754114637437,0.009490074005591848,0.06802441420082407,0.26153276392611,4.19279834866706,16.461425735354158
EU 10Y-03M,0.07963319655857376,0.0721455939359051,0.025888781474684076,0.05549087248201271,0.018837553371368276,6.265311361758403e-05,0.2520586509361615,4.04091280781542,20.50233854316958
RX1  Index,0.04085465893149376,0.10193248093128204,0.047760382294654846,0.004437790717929602,0.00891619361937046,0.03422192111611366,0.23812342761084437,3.817508365214862,24.31984690838444
SX5E  Index,0.06633264633342066,0.020532642889677193,0.023142131734360357,0.08066670506606612,0.023709811928615755,0.015704359293283985,0.2300882972454241,3.6886920715248785,28.00853897990932
US 10Y-03M,0.02861306514531681,0.01836319331800014,0.05979435718077678,0.02646534620567961,0.03410120883674016,0.0087988020181621,0.1761359727046756,2.8237479863351918,30.832286966244514
BULL,0.018217055814507267,0.04035844071375813,0.05496350683931136,0.026246333623188112,0.010573113747365111,0.0014890719365259824,0.15184752267465595,2.4343643708799583,33.26665133712447
CPEXEMUY  Index,0.011059293516781634,0.01018000721529454,0.0035188124834059317,0.0005688719355068711,0.09722498192082156,0.028380242137330817,0.15093220920914135,2.4196903976113298,35.686341734735805
EURCHF   Index,0.052049722103925236,0.015547841019084335,0.0399167047541463,0.009068881470643764,0.015133386610375808,0.01270717458646005,0.14442371054463551,2.3153485092636363,38.00169024399944
.EUR0210Y U Index,0.020320428777765135,0.016861147534151036,0.01231445380170875,0.03187013069021233,0.016777603069934227,0.0403065339920254,0.13845029786579688,2.2195849252301745,40.221275169229614
INFCE1,0.015834140471310952,0.017887231211695987,0.018197405249308116,0.013530787783759919,0.031210445314523685,0.04035809478682836,0.13701810481742702,2.196624526089231,42.417899695318845
GLD,0.0492655708688252,0.026394802272975557,0.022946366026983613,0.01342830268233624,0.016187191950436334,0.006773367651026654,0.1349956014525836,2.1642004862060875,44.58210018152493
EBBSLONG  Index,0.01418387333177726,0.018870326705809962,0.024060706370145818,0.02686629438176169,0.003268451326863208,0.04572317314156866,0.13297282525792659,2.1317720724143943,46.71387225393932
ECMSM1Y  Index,0.002598269301521309,0.03782662617928093,0.013758492317597454,0.009524666270595837,0.030725418285754282,0.036610843232008076,0.1310443155867579,2.1008549053134913,48.81472715925281
.USDEUR02 U Index,0.008923617754504782,0.0388634430561982,0.00023539188848363676,0.038497735890960984,0.01550666074624306,0.01260024880814237,0.11462709814453302,1.8376600338635956,50.652387193116404
C 1  Index,0.01643709084481238,0.019411425496458534,0.026575445357103194,0.03257018353263342,0.012444196153808845,0.00510338225470828,0.11254172363952465,1.8042280666802344,52.456615259796635
INF,0.004556020556816968,0.028175419075275016,0.004999412645102733,0.0038807418141583827,0.038644012357178056,0.030849109047130865,0.11110471549566203,1.7811904736759767,54.23780573347261
OLE3CHIN  Index,0.0012837525703272806,0.014751288152564917,0.03440168209911118,0.03567683901585471,0.01163689264493963,0.010532789064871238,0.10828324354766895,1.7359576594512243,55.973763392923836
UMCSENT,0.028090265169669962,0.008877220767426343,0.007952672881527702,0.03589429817431038,0.013111512875620429,0.01088044883017097,0.10480641869872578,1.6802184653769698,57.6539818583008
