,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
EBBSDEPF  Index,0.03810632207712747,0.16444021614646553,0.028177242495882836,0.03646994251416492,0.16325969085853576,0.06123494062068543,0.49168835471286193,8.676936289611394,8.676936289611394
CPI XYOY  Index,0.1185430827484067,0.09997391468614228,0.006492880071328228,0.02272086020771771,0.035621462631629276,0.03641138624822672,0.31976358659345094,5.642940781522705,14.319877071134098
GLD,0.09050516792594042,0.03213867049006031,0.06281556032906126,0.04570815684203815,0.03638136342580998,0.042659027876570485,0.31020794688948067,5.4743102330805895,19.794187304214688
DU1  Index,0.01821734418451814,0.05285684534005428,0.011472253737221928,0.05262987170179367,0.008291935744254212,0.07064819062142667,0.21411644132926888,3.7785615668228525,23.57274887103754
RX1  Index,0.019726863130927086,0.06545808166265488,0.07119686901569366,0.03501850366592407,0.002003888599574566,0.017879214137792587,0.21128342021256685,3.7285665984630616,27.3013154695006
EBBSLONG  Index,0.043359669625141053,0.007205027926080849,0.020852365743288335,0.021934374187914277,0.05144376958944628,0.03052511664475589,0.17532032371662667,3.0939176504426196,30.39523311994322
CPEXEMUY  Index,0.030777520758337937,0.01170004656646905,0.02147152379686468,0.031521312427650994,0.054049122127567774,0.011189997489205246,0.16070952316609569,2.836077528133414,33.23131064807664
EU 10Y-03M,0.03927709289900279,0.04507970430637571,0.021630860141127563,0.004364425348447705,0.036204080841945735,0.003430419691047652,0.14998658322794714,2.6468473668151136,35.87815801489175
EURGBP   Index,0.02339225529020834,0.03457611449468965,0.011072487474937356,0.00651052448884549,0.04414857898775796,0.011896040780763877,0.13159600151720266,2.322304586203173,38.20046260109493
INFCE1,0.028534399261925705,0.017252678695759346,0.017269187709008066,0.006887201036845095,0.0319004535333243,0.02172489551025534,0.12356881574711784,2.1806470121640715,40.381109613259
SX5E  Index,0.013325530019872366,0.01457779851603791,0.03325494145186744,0.032933974894169805,0.0053828304781862076,0.021213375462597252,0.120688450822731,2.129816556855991,42.51092617011499
US 10Y-03M,0.0252481512799754,0.03551776889585575,0.00804544097058566,0.0031896858532778232,0.029924401125863642,0.012914549238993822,0.1148399973645521,2.0266075677413085,44.5375337378563
OLE3EURA  Index,0.01648633717668691,0.011368776633622147,0.0175111465002025,0.009093734051697866,0.03967530844790889,0.019838179444808413,0.11397348225492672,2.01131597840807,46.54884971626437
ER5  Index,0.017891413611631237,0.0059021221742093476,0.030574016832340425,0.005086812019644435,0.013360484289416791,0.040237385524468344,0.11305223445171057,1.9950585087754622,48.543908225039836
OLE3CHIN  Index,0.010206762198411292,0.023188181485826697,0.01487989924739542,0.03926353911077954,0.011899852962845838,0.008960222752757818,0.1083984577580166,1.9129322523973904,50.456840477437225
HSI  Index,0.03180995192798905,0.01676459648931763,0.0031077043323810877,0.017916662053072026,0.013767559433844346,0.021725583030698693,0.10509205726730284,1.8545834504970133,52.311423927934236
GPR,0.015919084776013,0.0002992653154004423,0.02076748064344333,0.027935620319865,0.022374084174511415,0.014869598484178173,0.10216513371341136,1.8029313644586715,54.11435529239291
