,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
EBBSDEPF  Index,0.053903572908982345,0.00514810070783448,0.10359232216347236,0.051410346065020325,0.020904622488457016,0.05442826887688686,0.28938723321065335,5.651641805531823,5.651641805531823
RX1  Index,0.053110137581825256,0.07856106013059616,0.06525816768407822,0.05497751384973526,0.011070674285292625,0.002304257359355688,0.2652818108908832,5.180870476019704,10.832512281551526
GLD,0.026489653632449792,0.014938186635913531,0.05166591066018711,0.0006445419689096622,0.057262709701212076,0.10538027548661495,0.2563812780852871,5.0070458648316984,15.839558146383226
DU1  Index,0.007141787639531921,0.047955153005471714,0.03925140975907292,0.021632452988551952,0.05648918164633878,0.055827116111909665,0.22829710115087695,4.458570706907484,20.29812885329071
CPI XYOY  Index,0.007095458473261331,0.031824358969170956,0.061182109353629194,0.001264991993919478,0.03200109239585607,0.05243046471767037,0.1857984759035074,3.6285858991436077,23.926714752434318
EBBSLONG  Index,0.04101328683097223,0.02790480838130233,0.037325542840176855,0.006521937796559045,0.03670521224351952,0.009493614819063172,0.15896440291159314,3.104524878720499,27.03123963115482
CPEXEMUY  Index,0.007241389268813716,0.010844710833308372,0.033992656756667274,0.012025384189632582,0.03895032264845622,0.03842539260392588,0.14147985630080406,2.7630571730447135,29.794296804199533
OLE3CHIN  Index,0.04037664947470942,0.039590863626181465,0.016587417536950214,0.007663282884141708,0.01563521757400695,0.018612203474969176,0.13846563457095892,2.704190369037728,32.49848717323726
ECMSM1Y  Index,0.01276936555977264,0.02868604770844048,0.03535519478196617,0.0014484337617349493,0.04369881438512025,0.008025867784447202,0.12998372398148167,2.538541318295472,35.03702849153273
.EUR0210Y U Index,0.01602367625197338,0.03159378730057413,0.018289086106036908,0.015848686329447845,0.04099848895441067,0.004732068626763475,0.12748579356920642,2.4897575216203514,37.526786013153085
EU 10Y-03M,0.033399285344311386,0.02806959764118532,0.006855236831312599,0.030815937462509498,0.019581580334546496,0.007456151908514847,0.12617778952238012,2.4642126132605995,39.990998626413685
EURCHF   Index,0.008034885826502292,0.03178657491838921,0.02857408452091255,0.004111427127496246,0.016390320000909932,0.029162493723792905,0.11805978611800313,2.3056705555872083,42.29666918200089
US 10Y-03M,0.046744491438876275,0.01402432960916342,0.022910221251148482,0.01414953230032671,0.00867532192831536,0.00484875736464838,0.11135265389247863,2.1746823690647883,44.47135155106568
C 1  Index,0.0022683294789801025,0.032701758185144945,0.02826477092496122,0.014688982132075123,0.024138866091930878,0.0028139613937013088,0.10487666820679357,2.048208401892224,46.519559952957906
.EUR1030Y U Index,0.007497779865655391,0.03002142743778953,0.005060170739739398,0.01593631881230349,0.018152117426017564,0.027616711161730548,0.10428452544323592,2.03664403963534,48.55620399259325
GRZEEUEX  Index,0.014367524337637978,0.03526728727960402,0.0021686797287376667,0.013676193884768957,0.010641696002717752,0.02791919235492277,0.10404057358838914,2.0318797365038828,50.58808372909713
ER5  Index,0.024002452823049768,0.017337576910808,0.018249637767630642,0.024448272121429526,0.010253274537694501,0.0061312153027240175,0.10042242946333646,1.9612185177323482,52.54930224682948
.USDEUR02 U Index,0.030893682614806777,0.007729822350796853,0.031772842072125,0.00938407443952594,0.0035884889096262557,0.012994624642025061,0.09636353502890588,1.8819495838012856,54.431251830630764
