,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
EBBSDEPF  Index,0.042476943847522035,0.047059142956837705,0.05954381930394819,0.059988091799498246,0.08055721898883406,0.027995208285731578,0.3176204251823718,5.677784756174902,5.677784756174902
NFP,0.09053374504650374,0.03897460754700042,0.07968079157618253,0.04498589051199422,0.006359921642114849,0.011889232919573845,0.2724241892433696,4.869856552868683,10.547641309043584
CPI XYOY  Index,0.02264826558598945,0.02160217418243435,0.07436940139356255,0.02220012144183773,0.09338280506896803,0.012358333938114696,0.24656110161090677,4.407527832595428,14.955169141639011
GLD,0.014998638558737598,0.07183052510140218,0.05024087898184368,0.02918903053370405,0.019824136099787264,0.05471897557055786,0.24080218484603264,4.304581399597903,19.259750541236915
EBBSLONG  Index,0.07938378785822855,0.01884382657939111,0.05931389677632885,0.021571818644030856,0.0019801486041275637,0.03981939229148135,0.2209128707535883,3.9490398934116606,23.208790434648577
RX1  Index,0.017580809071660042,0.012046114541590214,0.04843958467245102,0.006289797835052013,0.09278713166713715,0.024231169372797012,0.20137460716068745,3.5997737682051243,26.808564202853702
NFP TCH  Index,0.01379854787598984,0.023218986381077226,0.01643012204190441,0.05342546883417698,0.03460979432211585,0.05772064212587989,0.19920356158114422,3.560964143511078,30.36952834636478
BULL,0.03881075487870994,0.0319217343518258,0.04346154989950974,0.00984135896116948,0.03802595426036184,0.02271981832028361,0.1847811706718604,3.303149391184274,33.67267773754906
DU1  Index,0.03082866987400123,0.026768418144222445,0.04764519482009362,0.015489569549542103,0.0413240546979054,0.0019202108345358598,0.16397611792030065,2.931238134858758,36.60391587240782
ECMSM1Y  Index,0.017508924758197392,0.012073230227149706,0.03414153901138583,0.006992377461368664,0.05647658142949171,0.013235970284394527,0.14042862317198782,2.5103029678230975,39.11421884023092
OIL,0.01926246489922608,0.017742627710427332,0.04706636817983198,0.012251908871887589,0.0343908124080377,0.004167425341060678,0.13488160741047137,2.4111444785196583,41.52536331875058
CPEXEMUY  Index,0.0035510798052540197,0.03782652387960882,0.021139359277305293,0.020787675343069644,0.029299872612200076,0.007822573300982114,0.12042708421841997,2.152755329300167,43.67811864805075
EURCHF   Index,0.02508765170881287,0.007125145972071468,0.01570463413189665,0.03118768490645998,0.016106036245596023,0.016484611471913654,0.11169576443675064,1.996674200924416,45.674792848975166
US 10Y-03M,0.031347997957741756,0.010219940168724517,0.011639985978861352,0.02088283176747954,0.002285702009378861,0.031139307308663964,0.10751576519084999,1.9219525076152715,47.59674535659044
EUGNEMUY  Index,0.004876219469685453,0.03486822856098874,0.026229315993551272,0.0211543425174763,0.009344931650008928,0.007798662509763255,0.10427170070147396,1.863961590012124,49.46070694660256
INFCE1,0.02208334036616971,0.005400221053582263,0.034880623744923275,0.01778179301362492,0.010187862518020266,0.0120775895878217,0.10241143028414215,1.8307073841095125,51.29141433071207
