,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
EBBSDEPF  Index,0.05942934542786411,0.14148520747536322,0.10439974295930508,0.09889964771151455,0.04210179345179093,0.03178260710400535,0.4780983441298432,4.044613482020228,4.044613482020228
CPEXEMUY  Index,0.05926764300202837,7.21221477472419e-05,0.06546070061903995,0.07869703454662605,0.0702989824154654,0.03357245360843266,0.30736893633933965,2.60027786989089,6.644891351911118
EBBSLONG  Index,0.008975384002624626,0.0007656016412918631,0.0981206379150185,0.051560918612987505,0.03699212124907871,0.05396057819135209,0.2503752416123533,2.118122955712167,8.763014307623285
SPX  Index,0.07438032327618721,0.0295384435041685,0.05098457720994305,0.02572627341436965,0.03702170310692024,0.00538889497192851,0.22304021548351716,1.8868742668816534,10.649888574504939
DU1  Index,0.03613880003321265,0.06140532134528947,0.047137098483858386,0.031959446042790746,0.0036704277080869805,0.019736241016807748,0.20004733463004595,1.692359232407537,12.342247806912475
EBBSA050  Index,0.04741494550849064,0.021949426225736035,0.03239065805753814,0.04567357869809658,0.01915697576164786,0.02746320285487642,0.19404878710638565,1.6416127563223855,13.98386056323486
NKY  Index,0.015138358483365453,0.07107292325373131,0.047236538259769936,0.026251893014828206,0.02333719558896742,0.00767877505825053,0.19071568365891284,1.6134153879228932,15.597275951157753
MKT,0.08234313204664964,0.021850426845098816,0.02293853059480578,0.03424987142579904,0.02569936116158318,0.0019428943000708236,0.1890242163740073,1.599105923209359,17.196381874367113
NFP TCH  Index,0.035966404737819584,0.025965509934583908,0.029811130476153084,0.036216467203512244,0.02000276579337253,0.03805390149373232,0.18601617963917366,1.573658552220732,18.770040426587844
OLE3INDI  Index,0.0017088172076867385,0.05394758564586548,0.05052475858670028,0.001716196577614521,0.02308263262955212,0.0447126731271023,0.17569266377452145,1.4863237351047744,20.25636416169262
CPI XYOY  Index,0.0325955082486294,0.01041951233584915,0.025695896319319286,0.03606264322777947,0.029180356473874663,0.03491569246409721,0.16886960906954918,1.4286020981505214,21.68496625984314
EBBSTOTA  Index,0.02428952821535891,0.0004124718278299739,0.02559750161567348,0.02278484679915904,0.04981468160488516,0.04315085764901167,0.16604988771191823,1.4047478364517667,23.089714096294905
RX1  Index,0.032745376229286194,0.025226915255188942,0.006878918502479792,0.026380734518170357,0.060731712728738785,0.007008150219917297,0.15897180745378137,1.3448687358642384,24.434582832159144
INDU  Index,0.01687729154111477,0.01844003067071932,0.027636207213848536,0.06154421948569814,0.02576483363625987,0.005221662204438173,0.1554842447520788,1.315364673999372,25.749947506158517
NFP,0.02114735350053033,0.031397408683425686,0.0164052039682856,0.04378620644529078,0.021026237768510793,0.020984540080737638,0.1547469504467808,1.3091273160916543,27.05907482225017
US_10y_MA200,0.06272120668321972,0.033471635941761425,0.009800135314216132,0.0007110445504634872,0.01992205720367397,0.012141172656064804,0.13876725234939952,1.173942362709493,28.233017184959664
SX5E  Index,0.008414157848036253,0.02826705701776811,0.02310658525206672,0.01196449014876488,0.024428193956821213,0.02973237840988452,0.1259128626333417,1.0651968742821376,29.2982140592418
EURGBP   Index,0.02370862254949766,0.01999972051847543,0.02300006248539932,0.005709231353121533,0.023518383243141334,0.029597976960402807,0.12553399711003807,1.0619917500179752,30.360205809259774
EU 10Y-03M,0.01490233178862201,0.005720769253037643,0.040875115049664436,0.0020605266070602,0.043991784014229235,0.015380356448850477,0.122930883161464,1.0399699423691744,31.40017575162895
US 10Y-03M,0.04334253319292119,0.018835176383501948,0.008123315438264084,0.017926173363327396,0.015051059041095417,0.013289335208500357,0.11656759262761039,0.9861378155709141,32.38631356719986
GDP CQOQ Index,0.04287134161862144,0.0012525844065066401,0.02955703929977854,0.011269290879376101,0.011131103860073922,0.016313245165889556,0.11239460523024619,0.9508352020084293,33.33714876920829
GLD,0.004618615675937157,0.038828853953241836,0.011549467272134333,0.025272638875486107,0.028346610389108275,0.002729738920685526,0.11134592508659323,0.9419635840674272,34.27911235327572
INF,0.02395692741093985,0.02833778494584771,0.021639452647044522,0.02850692583136407,0.0033826899709636167,0.0028590413457933585,0.10868282215195313,0.9194342819568814,35.1985466352326
CCMP  Index,0.0024983648038999873,0.041861372128904804,0.03554287796002064,0.001742268301942706,0.014971230110457288,0.010492643421471909,0.10710875672669734,0.9061180127860295,36.104664648018634
INFCE1,0.01699254613116746,0.030045593282288355,0.004730373406825058,0.04147261863552429,0.004575563173922701,0.009250247641512301,0.10706694227124017,0.9057642711084816,37.010428919127115
UMCSENT,0.020594526343011024,0.04456864101245033,0.0021299511491099632,0.02104799173432009,0.007602264229363756,0.009895192814189465,0.10583856728244463,0.8953724718026267,37.90580139092974
TED,0.005565210385522521,0.03587040258114078,0.012757680377253278,0.0031858065274447084,0.04098634353119785,0.0027199443139241963,0.10108538771648333,0.8551615520389535,38.76096294296869
SXXP  Index,0.011151733065357026,0.013018488006168621,0.04014865242581529,0.003612180532977234,0.018501291712032436,0.01161225655569909,0.0980446022980497,0.8294371339347424,39.59040007690343
BULL,0.024274428000203418,0.003117118717599747,0.009599530346547976,0.02852280399888344,0.0021229173327349713,0.029256559126531936,0.09689335752250149,0.8196978403407382,40.410097917244165
US_10y_MA10,0.038397852475968476,0.0038955551841980524,0.007206604200676683,0.001687847243980967,0.02927575327544531,0.015774971578711685,0.09623858395898117,0.8141585909055522,41.224256508149715
GRZEEUEX  Index,0.021411018932847973,0.02802147794921319,0.0037703759716295367,0.021360232487566997,0.005507166575572283,0.015062531435566915,0.09513280335239689,0.8048039148133617,42.02906042296308
HSI  Index,0.0029751528686297645,0.01199707995129526,0.04022899010970691,0.007073348250390124,0.017608797764094557,0.014742001660135236,0.09462537060425186,0.8005111383175523,42.82957156128063
.EUR0210Y U Index,0.029950450147979677,0.014278897548584754,0.0014408432509981587,0.009242994079552957,0.0208611563177439,0.01785500003262798,0.09362934137748742,0.7920849362850192,43.62165649756565
