,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
UN_release,0.0011137938902833204,0.0015008320633051204,0.002076004785741725,0.00018311277222474268,0.0010986340300293003,0.0012456650770459625,100.07549923855615,0.8430118561102687,0.8430118561102687
CU_release,0.003934564262290973,0.001990264753467076,0.001995705794163363,0.000482986121529243,0.0019420496227442925,0.00011247239245535451,100.04832582108557,0.8427829537987837,1.6857948099090523
INF_release,0.0022152043106093864,0.002792431565724571,0.002297135806485489,0.0008327783198504798,0.0009400841050424172,0.0019061560131462378,99.96535213968956,0.8420840035292954,2.5278788134383476
PMI_release,0.0022193206513523764,0.00309345382471589,0.002022710460931619,0.00126742256201725,0.0014660986440442867,0.0018563893701870192,99.88228053680388,0.8413842283928078,3.3692630418311555
GJTB3MO  Index,0.0017596401242555982,0.0008546241249740315,0.003153617444909975,1.6706755200761382e-06,0.0016036710293964639,0.005053509481170103,99.78663803347958,0.8405785590245417,4.209841600855698
EUUCEMU  Index,0.0011309685435364285,0.005439594788371616,0.0006225779687331428,0.0005172067883650944,0.0033032678163229363,0.00398206934509672,99.70838114624216,0.8399193418908238,5.049760942746522
ED5  Index,0.00029678555125337925,0.001130777333577952,0.010030940150412546,0.000815292641921481,0.00043937723467024625,0.002972786616394651,99.58874086551417,0.8389115210366742,5.888672463783196
HCS,0.0026200261204456874,0.0048307262172989736,0.0042087778195672235,0.0007946668375545543,0.0012372597027429922,0.0030908205934165756,99.46750813781304,0.8378902857935003,6.726562749576697
V2X  Index,0.004399167083095943,0.0025992367073767106,0.004679274456610285,0.0027865749379390784,0.0006499588208127395,0.003070368852205902,99.34020133619397,0.8368178840173919,7.563380633594089
ER3  Index,0.0021733178291469812,0.004600885324180126,0.00762645760551095,0.001461841631680727,0.0012769263703376055,0.002241515088826418,99.1988772393487,0.8356274039288476,8.399008037522936
