,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
.USDEUR10 U Index,0.014351056603722143,0.018264373105242555,0.023450887887345256,3.330085285173828e-05,0.010760397703363057,0.012326723625169874,248.51646530130768,0.6116184616986372,0.6116184616986372
US_5y_MA50,0.004807942664922192,0.012827733692673114,0.0074351749548644845,0.023430741189985935,0.019154662057865274,0.010786721791793828,248.51122203532904,0.611605557610901,1.223224019309538
EUSA10   Index,0.026677220801352607,0.018796804840429476,0.007314217506042427,0.002910937009926351,0.01789546797549707,0.006125309497021021,248.49816603096212,0.6115734257628275,1.8347974450723656
ECMSM1Y  Index,0.032707892342607583,0.024387719970847634,0.0012020904432717698,0.010249288510095487,0.003343200177431538,0.008771238251995663,248.46661253854683,0.6114957701496718,2.4462932152220374
NFP_release,0.010087361312947055,0.004566778775010888,0.01668606078950231,0.009646954719450193,0.005598738169000706,0.005141335792791726,248.44273131062374,0.6114369965796065,3.057730211801644
.EURGBP10 U Index,0.012601490235494521,0.011332850650508371,0.007862522040656142,0.009065024023498788,0.00010491568407016355,0.010694105833625784,248.44240713789605,0.6114361987651646,3.6691664105668087
GUKG5  Index,0.008528463498468824,0.0033953768572611595,0.006135655945657972,0.01597164751055631,0.014396423594697217,0.005615434166192868,248.441787332923,0.6114346733766407,4.280601083943449
FDTR  Index,0.00317603076538501,0.013888502525749354,0.011149819994533768,0.006390706473053022,0.005343336157989277,0.011838139169977535,248.4300851631706,0.6114058734214594,4.8920069573649085
.USDJPY02 U Index,0.0083254971697222,0.010556497848152996,0.019435149696356527,0.00039321825551455117,0.010248904563612226,0.0026360881910252334,248.4292193404682,0.6114037425640585,5.503410699928967
INFE1,0.005776259768262509,0.016543187803455237,0.014270376419892794,0.002251411299418483,0.012564519245185741,0.0014084374126722631,248.41795623601598,0.6113760231829275,6.114786723111894
EURCHF   Index,0.000919929641062917,0.02329135131939865,0.019761923162636214,0.015042204072256161,0.015907116300172094,0.006625061030435597,248.41185760437378,0.6113610139733809,6.726147737085276
OLE3JAPA  Index,0.021012371523289306,0.011405276983481427,0.011457401041896586,0.013249604426546678,0.016083855036584833,0.008435748806435977,248.41141487545048,0.6113599243828675,7.337507661468143
EUR001M  Index,0.016131900795965277,0.018724175250313925,0.006546066397602375,0.012881186113485606,0.009503014016520423,0.014418625549311143,248.3816407065667,0.6112866478241133,7.948794309292256
UNC,0.008147021144567229,0.01482822182419031,0.008378139970299682,0.002304517713724807,0.012612131605075063,0.006643266932621314,248.37188781033018,0.6112626451835395,8.560056954475796
BEAR,0.009922659430734736,0.0190112545704588,0.0018973760117422629,0.012230025725242497,0.005006451718406276,0.006136209956824977,248.3655541129214,0.6112470574587531,9.171304011934549
USGG2YR  Index,0.01684698214154546,0.009878006755136623,0.013549014124657944,0.016928361869503583,0.004332000773133845,0.01543674350776554,248.32443653218303,0.6111458638760683,9.782449875810617
USGG5YR  Index,0.0052660043833757855,0.01411585034103612,0.004745558579805055,0.004229485906918991,0.009553788864182266,0.013609304229253579,248.31585173893868,0.6111247360283351,10.393574611838952
EUSA30   Index,0.003939840285297784,0.013510251744816808,0.02050740521470696,0.007409504464505449,0.011211915424254619,0.025280672715599913,248.30578124886773,0.6110999517644905,11.004674563603443
USGG10YR  Index,0.0010876689274854853,0.011828739990579863,0.004787194063005244,0.00531228880857547,0.018358017415955257,0.014501984003794956,248.29632809851154,0.6110766868219762,11.615751250425419
US_5y_MA10,0.005158877131262994,0.01953033781332256,0.01520049103396425,0.00013492261567223278,0.01048311824568673,0.0005602027956745164,248.2725261627881,0.611018108396217,12.226769358821635
UKX  Index,0.016453668132537798,0.010672475003192754,0.025746602863292913,0.002290900489832284,0.01777662251104394,0.0037250888402608527,248.26332264865545,0.6109954578279772,12.837764816649612
ED2  Index,0.010887577481604196,0.013163439313743114,0.00998332445547785,0.007657495377837835,0.004247075602924929,0.004181534769221341,248.20197710056635,0.6108444816352777,13.44860929828489
OLE3US  Index,0.020372260017352532,0.018994072714064832,0.014938966469122884,0.010720289782767343,0.01717844990862914,0.0005004064227472204,248.1924493590203,0.6108210331180103,14.0594303314029
EUR009M  Index,0.007840238511562347,0.00315806083381176,0.013112558051943779,0.025408262386918068,0.0030703525990247726,0.003308412618935108,248.17754990126673,0.6107843643869452,14.670214695789845
.USDEUR02 U Index,0.020435940521844245,0.022743856212332814,0.008748649770013387,0.008664634063645963,0.009848063872040255,0.0054179433571295505,248.17441196772435,0.6107766416870276,15.280991337476873
US_6m_MA200,0.010253736744046973,0.018612537054682764,0.002776907410640999,0.0017533047423500187,0.0025235184908941615,0.01411835535867891,248.1304133411567,0.6106683576251827,15.891659695102057
US_5y_MA5,0.02098315228210125,0.019151180964864404,0.006713595813586758,0.018764483734335875,0.007209296681988419,0.002064703953950711,248.06095486123655,0.6104974148726002,16.502157109974657
ED3  Index,0.0063916685226089644,0.009687109145468546,0.02084174278403146,0.022493959819897408,0.014573688326773058,0.009765507587385069,248.0601361788891,0.6104954000313004,17.112652510005958
EUR003M  Index,0.013974646012903052,0.018506035957733515,0.001210039488023808,0.009517023636982,0.0031716975622947986,0.01011569913698658,248.05399474132417,0.6104802854730295,17.72313279547899
LEI CHNG  Index,0.003250467639176607,0.005817431386024497,0.001713338911511301,0.008426856893200056,0.006178929209123946,0.024309928578023627,248.04012943058078,0.6104461618586542,18.333578957337643
US_10y_MA50,0.009381311356554099,0.034661602250793566,0.012642289360573282,0.012775432603086912,0.014090099500991977,0.0009510940125892041,247.96788544402648,0.6102683637563443,18.943847321093987
US_3m_MA50,0.0041073147100885755,0.00589085273118671,0.010452820335133235,0.01833365799811622,0.00872491481528621,0.009780021861948547,247.91551414340495,0.6101394738886873,19.553986794982674
INFE10,0.005995354946712732,0.016690731475428253,0.011065223851506593,0.0016133570683582897,0.004232437405242161,0.017818002600208188,247.8867948618706,0.6100687934902203,20.164055588472895
.EURGBP02 U Index,0.00927782983328504,0.011640282400945716,0.006235933808607213,0.013592295634107663,0.0009910688520185628,0.007892848598228287,247.87316020822342,0.6100352375410022,20.774090826013897
ER2  Index,0.0011078346287831664,0.006819040980190039,0.018621090799570084,0.013163886964321136,0.019406354054808617,0.015106473118066788,247.7938909748699,0.6098401497567584,21.383930975770657
C 1  Index,0.00542992966117846,0.028864743574092452,0.005893662026024393,0.0041434203874006915,0.024128192909471765,0.016052340956913463,247.77223145313243,0.6097868439794123,21.993717819750067
US_3y_MA50,0.003905722127843843,0.015628480992188117,0.014946794460638468,0.0039466110842830675,0.0076118544601864015,0.0035863310067814594,247.76683650398363,0.6097735665875287,22.603491386337595
INFE3,0.006893025266158912,0.018973415876667368,0.0069353385020046515,0.01440872048157723,0.004032006171053506,0.006451222095624791,247.7124387265993,0.609639689402034,23.21313107573963
US_3y_MA5,0.0050496657379927755,0.004348447452858245,0.014375048591912,0.004412895718845356,0.006876068883073544,0.013658004891573797,247.62812672568305,0.6094321909723399,23.822563266711967
GUKG30  Index,0.0009502179261322182,0.006313398611161015,0.0028621905214440326,0.03372533748634638,0.006153876242040207,0.022708194155014818,247.62262172820724,0.6094186427429149,24.431981909454883
.EURJPY10 U Index,0.01791251087594199,0.013313336839147682,0.018105203803571335,0.02081254574869885,0.01424596916471477,0.0012898631018081765,247.5776674438567,0.6093080067325085,25.04128991618739
US_3y_MA15,0.006110893691637956,0.017843590869494472,0.0028279092102749394,0.020286160759900675,0.0025381646081016596,0.010339820807182055,247.55032102638674,0.6092407050598984,25.65053062124729
US_3y_MA20,0.007432727398284393,0.024639827122832678,0.0032416503001450343,0.008023968307035065,0.004881285817965973,3.313601042608596e-05,247.47929435523884,0.60906590286603,26.25959652411332
US_3y_MA200,0.01239733294864346,0.012344115932469707,0.011812081163135353,0.006384789296859622,0.010069532575667488,0.018333436284238815,247.42789815568239,0.6089394127983729,26.868535936911695
GJGB30  Index,0.019673040971042832,0.0217385969910595,0.0031026211830930076,0.02366545583782004,0.011968231363604413,0.006407091590531961,247.35428473688617,0.6087582444161898,27.477294181327885
ED4  Index,0.0021324966423648924,0.024964377256925963,0.0045247911278386765,0.008693021909856562,0.0163789489785111,0.003563569791423018,247.32950509327833,0.6086972597748442,28.085991441102728
GBF1,0.005260912643551478,0.008534557696992282,0.009654221573061722,0.013098460643162772,0.010509517273761804,0.0010662414146114594,247.32188875471888,0.6086785153698493,28.694669956472577
