,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
EBBSDEPF  Index,0.07452621384984238,0.02277076758761726,0.015134055022462463,0.01953907390513147,0.1881440014400509,0.19448883191783553,0.51460294372294,9.555053252798656,9.555053252798656
CPEXEMUY  Index,0.0670673329669159,0.005872679008325747,0.10107361328829959,0.015293073441051923,0.05902536736002492,0.04845106963082199,0.2967831356954401,5.5106149327223255,15.06566818552098
DU1  Index,0.13821437929788333,0.007078132896696319,0.0037180732823175826,0.05571548251107279,0.019191997119640647,0.0332863148204173,0.2572043799280279,4.775723841153397,19.841392026674377
CPI XYOY  Index,0.08295746054892753,0.003567819650461967,0.016491674832050943,0.020471465308328197,0.007188339988231896,0.07643446135238748,0.20711122168038798,3.8456032491601086,23.686995275834487
GLD,0.05900157171507341,0.026563615679447906,0.04158429667172249,0.028979989968603022,0.034664857544856015,0.004002367359523275,0.19479669893922613,3.616949445271353,27.30394472110584
EBBSLONG  Index,0.023171906211378945,0.050110141891564944,0.01896962777404253,0.03586655715049884,0.04491254335276908,0.0005529794839871338,0.17358375586424146,3.223071401621465,30.527016122727304
.EUR0210Y U Index,0.009845585639898976,0.0003843553612422467,0.05154221447024229,0.04692047430997651,0.03990864583155077,0.014857788817880305,0.1634590644307911,3.035077984570866,33.56209410729817
ECMSM1Y  Index,0.06345518058842163,0.02526870236139852,0.011654041217778367,0.026264157976900893,0.02156286675474459,0.008717620796591469,0.15692256969583546,2.9137095469414738,36.47580365423965
RX1  Index,0.027989210560917854,0.0006889799842610955,0.0014633439714089036,0.04039735347032547,0.05872887000441551,0.02362878806889057,0.1528965460602194,2.8389550771029786,39.31475873134263
SX5E  Index,0.010903034141646482,0.0041708119886348285,0.06236815909167912,0.005609190705723272,0.023797095029471853,0.043497378812328485,0.15034566976948405,2.791590873115058,42.106349604457684
EURCHF   Index,0.0060169237080703345,0.041459872223408925,0.018175489211643345,0.020223408393310698,0.013440959654357773,0.0035846841934464926,0.10290133738423757,1.9106531948250116,44.01700279928269
OLE3EURA  Index,0.030890002650076222,0.010436702794561072,0.023635273829821064,0.025983456911585445,0.0065093496367457405,0.0051756399451586685,0.1026304257679482,1.9056229575284287,45.92262575681112
OIL,0.0038618577073270643,0.03722688550659724,0.007503902618311109,0.02936095213744273,0.01516715402467253,0.0005691596511377533,0.09368991164548843,1.7396171280058226,47.66224288481695
UMCSENT,0.031534260631563345,0.021662048320547585,0.00748869024822314,0.014017169759696007,0.016041291463851567,0.0023224520924207247,0.09306591251630238,1.7280308264080553,49.39027371122501
GRZEEUEX  Index,0.018347484685527684,0.018709237083412485,0.0008074077141258869,0.003979548268777289,0.0330244314916561,0.014564756924852864,0.0894328661683523,1.660573086906203,51.05084679813121
ER2  Index,0.004860455344767322,0.011578188088129222,0.015384271561903884,0.0060984963306560695,0.010713312251300181,0.03769533123617402,0.0863300548129307,1.602960653677675,52.65380745180889
EUR009M  Index,0.018974360078573227,0.0075598726980388165,0.02064964361488819,0.006990549620240927,0.006109042093157768,0.02357724867761135,0.08386071678251028,1.5571104371804072,54.21091788898929
ER5  Index,0.01880887767831073,0.009517490569818661,0.007362064458769903,0.002498514363157418,0.016074388013273645,0.027091927863901643,0.08135326294723201,1.510552493396243,55.72147038238553
HSI  Index,0.008737645228393376,0.025421940628264784,0.009450057831685293,0.0014252621145401856,0.023953704057045087,0.012241914069361998,0.08123052392929073,1.5082734977804375,57.22974388016597
EURGBP   Index,0.008115881927963696,0.003660380846623694,0.007532316250883545,0.002346359614513061,0.056590418931278176,0.0022127326415051192,0.08045809021276729,1.4939310899383005,58.72367497010427
SX7E  Index,0.011119543519812855,0.01180886335179126,0.030232877292659846,0.02273428002511908,0.003784665514471721,0.00032683547420190884,0.08000706517805667,1.485556539661096,60.20923150976537
INF,0.02156417201860016,0.011256111299833596,0.010449126965478795,0.023041848911666607,0.007223622664030508,0.0027526526128769024,0.07628753447248657,1.416492974439291,61.62572448420466
US 10Y-03M,0.01300118734610131,0.0027786275173087467,0.016268509568311693,0.006268035661981158,0.004522062795784338,0.032225191288833485,0.07506361417832072,1.3937674464752845,63.01949193067995
FDTR  Index,0.014727741046041277,0.02020736476114327,0.003827296488888715,0.010521784049375087,0.014967252171601863,0.008790240771410121,0.07304167928846034,1.356224529587679,64.37571646026763
UMRTEMU   Index,0.006986116746934096,0.007399561692226315,0.00789906382421206,0.011596648099706666,0.02538419400833631,0.012481287816776598,0.07174687218819205,1.3321827883849189,65.70789924865254
.USDEUR02 U Index,0.020465404771910178,0.014060512419671434,0.004141436436532714,0.021423159004101872,0.0057304434234987985,0.005116308014011464,0.07093726406972645,1.3171501330528852,67.02504938170543
