,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
EBBSDEPF  Index,0.03329647560198045,0.06399762783297307,0.13140186364042392,0.03935307417031737,0.08895261235179025,0.06990686740600544,0.42690852100349047,7.309825092247527,7.309825092247527
RX1  Index,0.1280096173286438,0.01925024576485157,0.015541039407253265,0.062351733446121216,0.028311453759670258,0.07304834574460983,0.32651243545114994,5.590773376885004,12.90059846913253
CPI XYOY  Index,0.054858798636848,0.01647062895901592,0.014175240795820648,0.035095885150298656,0.05604299978940506,0.023309255697246862,0.19995280902863516,3.4237312885374447,16.324329757669975
CPEXEMUY  Index,0.007018361407010916,0.0010791069831056067,0.020860810466058335,0.09110117091202886,0.028514323163438927,0.03861716819225331,0.18719094112389595,3.2052136960220015,19.52954345369198
DU1  Index,0.02464628505984002,0.04555398795226521,0.027091903053398654,0.015212907297877139,0.04615330410512005,0.01607560212335496,0.17473398959185604,2.9919170940526256,22.521460547744603
OIL,0.013793843756442943,0.01402172597383534,0.021973134010625197,0.06894078974515172,0.014359771925606874,0.04139702851799401,0.1744862939296561,2.9876758763731703,25.509136424117774
EBBSLONG  Index,0.038298046618039726,0.02802944656126606,0.023865026461784306,0.012805684601323496,0.036786228808497023,0.02355068372227302,0.1633351167731836,2.796737652898794,28.30587407701657
GLD,0.02128747149938831,0.06905515679448927,0.005242375454026595,0.025936096103647208,0.01427136820015666,0.020609348376945794,0.15640181642865386,2.6780208544816513,30.98389493149822
BULL,0.006353183861853748,0.038244054230731316,0.01926241021436633,0.029088174879521256,0.011651465342885919,0.03762304833295887,0.14222233686231744,2.4352299275510325,33.419124859049255
C 1  Index,0.008170690500084048,0.01714936332714298,0.05329389714626307,0.044068413492442296,0.010395628982114465,0.0014881695616460512,0.1345661630096929,2.3041355853557244,35.72326044440498
US 10Y-03M,0.0054488716322549854,0.013596241762591029,0.03728035365291561,0.04570582565950141,0.027112099054883102,0.0031874760140463247,0.13233086777619246,2.2658613032026884,37.98912174760767
OLE3CHIN  Index,0.01534952305740875,0.017983128029535392,0.014906998755167664,0.03389038265732509,0.0196370488860153,0.03046389585474354,0.13223097724019575,2.2641509078589963,40.25327265546667
EU 10Y-03M,0.025388298291099856,0.02735136024798858,0.0104490529138019,0.020598439909003334,0.015769084465391336,0.022079044888120427,0.12163528071540543,2.082724010722598,42.33599666618927
LEI CHNG  Index,0.016704457217537546,0.002836118716292527,0.04662720657069622,0.016515624912908682,0.017748611420008394,0.016526765255705365,0.11695878409314875,2.0026497777866314,44.3386464439759
EUR009M  Index,0.009021994657814503,0.022564547136425972,0.02990730106830597,0.009738991037011147,0.012363999150693417,0.03264269232749939,0.1162395253777504,1.9903341290071739,46.32898057298307
SX5E  Index,0.0009426121233542203,0.0051342867100532775,0.01879735304882371,0.019220653113550326,0.04117137689803288,0.026037555301410078,0.11130383719522449,1.9058218376166665,48.234802410599734
ECMSM1Y  Index,0.004301392988315261,0.008431568743612276,0.012424159181212792,0.018941900876913467,0.028148003604975613,0.037570124284967414,0.10981714967999681,1.8803657383155858,50.115168148915316
EURCHF   Index,0.01645292585232097,0.037977699368437985,0.004063485935024896,0.010708687318124107,0.016011868462127116,0.019949951587068554,0.10516461852310363,1.8007018587725416,51.91587000768786
GPR,4.7687060745777094e-05,0.021205789181929703,0.02089278566510546,0.01788044426074109,0.00982017658435174,0.03530661009143703,0.10515349284431079,1.8005113571498124,53.71638136483767
.EURGBP10 U Index,0.01435440950614524,0.024306730645142934,0.03091206032972336,0.0201130997546537,0.0027929744480463667,0.010639765224230303,0.10311903990794191,1.7656760367202529,55.482057401557924
GRZEEUEX  Index,0.024560205414088227,0.024582703284929737,0.0002934714432928297,0.024246450324630978,0.000507440405248197,0.020695271334002507,0.09488554220619247,1.6246963534013565,57.10675375495928
.EUR0210Y U Index,0.021790600263085057,0.02691412577536498,0.0026939260265366597,0.017265219454354178,0.0023096975186995064,0.022726846136145763,0.09370041517418615,1.6044037827689008,58.71115753772818
OLE3US  Index,0.030090795629356674,0.010482386313531558,0.0013402905504390202,0.010211823616648614,0.01899879726480026,0.019950423836350203,0.09107451721112633,1.559441328576286,60.27059886630446
OLE3EURA  Index,0.024817571577492967,0.003439119452767833,0.011405895760233995,0.027431593916135394,0.014735621881331715,0.0077613754102597125,0.08959117799822162,1.5340425612400939,61.80464142754455
ER2  Index,0.018753107522020005,0.01029957963749762,0.0002798713719080028,0.03711436925622968,0.017378646383052348,0.005089671929839476,0.08891524610054713,1.5224687844162972,63.32711021196085
UMCSENT,0.010623022590981204,0.016362156023750574,0.018714174337164893,0.0029185934058766315,0.03214969490100512,0.007604112414400518,0.08837175367317894,1.5131627284638793,64.84027294042473
.USDEUR02 U Index,0.010552325841971615,0.016222393684850303,0.008327716748965965,0.022261557882370633,0.028856413456373048,0.001609254220911697,0.08782966183544326,1.5038806543828365,66.34415359480757
.EUR1030Y U Index,0.009197902973312945,0.031167224817832927,0.020212848398167508,0.01647156772816066,0.006201936937489591,0.0022624710954241532,0.08551395195038779,1.4642294565469287,67.8083830513545
HSI  Index,0.012568825924369283,0.027212825375534908,0.000264436782045814,0.0012108354290599054,0.020564451169540306,0.021565108548242323,0.08338648322879255,1.4278014550454983,69.2361845064
EURGBP   Index,0.018196783681428925,0.019151783731592348,0.0013481292726547085,0.020725883981658123,0.012700406840593042,0.007911267765861391,0.08003425527378853,1.3704022727503722,70.60658677915036
SX7E  Index,0.006386727641267666,0.021711465007090466,0.007150195986111042,0.019838140020539744,0.004959962590865533,0.01775868158200939,0.07780517282788385,1.3322343702745412,71.9388211494249
ER1  Index,0.016160307726318726,0.015073226690879345,0.011709024180119073,0.009527536237438562,9.659008775733338e-05,0.02453889144886922,0.07710557637138227,1.3202553923891573,73.25907654181405
NAPMPMI  Index,0.01847279484007567,0.009208440559046847,0.005174393869769317,0.0055933667540442435,0.01568695932108256,0.01757779898655587,0.07171375433057452,1.2279328593223893,74.48700940113645
OLE3INDI  Index,0.002784499684324699,0.014416420448007587,0.0030928843611268274,0.008822747909672551,0.007497122134418064,0.034593766371893236,0.07120744090944296,1.2192634082146219,75.70627280935106
EURJPY   Index,0.002811144459633333,0.004448296944698847,0.018636011545308213,0.013990795831632789,0.018806141625897433,0.008825722817783677,0.0675181132249543,1.1560921695187836,76.86236497886985
ER4  Index,0.017228113072392373,0.010071980765697328,0.015584367622221814,0.010374254691242148,0.006970822456780072,0.0067168959932953414,0.06694643460162907,1.1463034898839488,78.0086684687538
UMRTEMU   Index,0.01671630299397881,0.003273989982233534,0.008423257964351604,0.017582268827710905,0.01765395972778237,0.003060387582112289,0.06671016707816951,1.1422579527571466,79.15092642151095
BEAR,0.013724584713418494,0.003080635072967748,0.0014499320530149545,0.006686262660862786,0.014198587890631487,0.026748304006110286,0.06588830639700577,1.128185481644645,80.2791119031556
EUDR1T  Index,0.028059019082744083,0.009225150679088004,0.014102139940320937,0.0018898275900907048,0.008858574015610066,0.0005167413406352975,0.06265145264848909,1.072761816885681,81.35187372004128
UNC,0.008206837172088519,0.0008569185000456922,0.005228031647749537,0.03015241559628474,0.003002765470410452,0.013367658105795653,0.060814626492374596,1.0413103998596138,82.3931841199009
ER5  Index,0.03441269069232724,0.006755616290572483,0.006478523887637584,0.006816957420219982,0.0019796602590799054,0.003480146665179765,0.05992359521501695,1.0260535416130363,83.41923766151393
ER3  Index,0.02729286144783453,0.007461774508157202,0.006165217140151821,0.008305982133633726,0.009377959199841532,0.00013810914145809212,0.058741903571076906,1.0058197940882323,84.42505745560217
INFE1,0.012412666107376038,0.00871115220617241,0.013823800848145823,0.004596429234407685,0.005983747564271029,0.012643166036203664,0.05817096199657665,0.9960437347168262,85.42110119031899
OLE3BRAZ  Index,0.013461918651466516,0.00034289736572475305,0.011996543252071555,0.016070558014568557,0.0017783220246030903,0.010975890258917823,0.0546261295673523,0.9353466444407925,86.35644783475979
INFCE1,0.004539111531642898,0.006464343365680491,0.015224315446197914,0.004422349936484903,0.00024406423045823173,0.018997399027318795,0.04989158353778323,0.8542784491140893,87.21072628387388
INF,0.0007359439288725337,0.023352478275594023,0.0022433190817516793,0.0017132118982354557,0.006741421094147668,0.014800007135372507,0.04958638141397387,0.8490525657384547,88.05977884961234
ECMSM2Y  Index,0.016900276437993342,0.0010274469925715107,0.009070960234172228,0.020979622974223698,0.0006500367295377577,0.000641657483431549,0.04927000085193008,0.8436352773561782,88.90341412696853
OLE3JAPA  Index,0.025098599572277575,0.007677021883833969,0.0003066794913591054,0.0006105112465643045,0.0030278407352626927,0.005927424281730815,0.04264807721102846,0.7302500877717004,89.63366421474022
.EURGBP02 U Index,0.014666185756690991,0.0032889301332197597,0.009058598032264676,0.004480885663037598,0.005287735262354102,0.005200083023756286,0.04198241787132341,0.7188522048415888,90.3525164195818
FDTR  Index,0.007783200940830352,0.0002147043626475621,0.011283494654087997,0.004942158442053895,0.008182223075708407,0.0036162469531047215,0.03602202842843294,0.6167942646374583,90.96931068421927
