,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
CPI XYOY  Index,0.04725267807724346,0.10572894541423197,0.019789508637109467,0.11846675848119942,0.06028923412834336,0.022546712116776464,0.37407383685490414,5.818319694780206,5.818319694780206
NFP,0.08328937088397344,0.053546340298090564,0.012597070006957398,0.10517399667987275,0.03431386348845397,0.02536693386299433,0.3142875752203424,4.888408139162433,10.706727833942638
EBBSLONG  Index,0.07091220079103305,0.03000344078455391,0.019973884494920317,0.0465999945864623,0.059877881952259536,0.02017329433202846,0.2475406969412576,3.850231613048068,14.556959446990707
GLD,0.06391249722956674,0.052025423032068786,0.024786150578797333,0.056573601640863364,0.021626558857430176,0.012043248270116819,0.2309674796088432,3.592452887805484,18.14941233479619
EBBSDEPF  Index,0.08584337772971681,0.003908082851718092,0.07179908481314924,0.013154141513700734,0.00768576980250442,0.03457174700028894,0.21696220371107824,3.3746157536399,21.52402808843609
RX1  Index,0.006517318543046713,0.005794488824903965,0.0680462047457695,0.03267915919423103,0.07391969859600067,0.02148868516087532,0.2084455550648272,3.2421483643976368,24.766176452833726
ECMSM1Y  Index,0.022140028848659184,0.0645781113910052,0.02881150069299007,0.03107237584270636,0.02020454454134927,0.02154405387466586,0.18835061519137591,2.929592999889543,27.69576945272327
GDP CQOQ Index,0.022170937793925843,0.07703864921253972,0.025359064449687913,0.027966208648131447,0.020399930348760708,0.015207377447442962,0.1881421679004886,2.9263508245262777,30.622120277249547
NFP TCH  Index,0.0895392516177799,0.011895148064927445,0.04465850873990716,0.0031220345664529263,0.01646452071699808,0.014853344865787757,0.1805328085718533,2.8079953532677218,33.43011563051727
DU1  Index,0.04759895450605742,0.005504429249791886,0.04450417409901652,0.032484150251962815,0.0314308111930965,0.007756301170774902,0.16927882047070003,2.6329515673555832,36.063067197872854
EURCHF   Index,0.022211206903084674,0.024978826865407477,0.01088747978192152,0.07679316244126537,0.003121767494752491,0.023636217207111756,0.16162866069354329,2.5139614886217116,38.577028686494565
EUGNEMUY  Index,0.01827721088673656,0.0363200275632937,0.006322534429898608,0.027573760893538482,0.020817476217470304,0.03369594116240428,0.14300695115334194,2.224320651189246,40.80134933768381
HSI  Index,0.04355965595425258,0.03189756372652597,0.010221681379656396,0.02318115946049994,0.006260510423350603,0.014927568608045958,0.13004813955233144,2.0227601534195205,42.82410949110333
CPEXEMUY  Index,0.013279553532359338,0.017853077481617907,0.016221164097215374,0.05131881342320712,0.018116971791204074,0.010490118700545281,0.1272796990261491,1.9797000127458435,44.80380950384917
OLE3US  Index,0.024241755872828546,0.018441203631362778,0.012791117439746365,0.02531642610644501,0.024099406697979463,0.011921836900815719,0.11681174664917787,1.8168821744521237,46.6206916783013
C 1  Index,0.012616588262253769,0.055000363480416814,0.008249866584163115,0.008605280124412187,0.00882372964406386,0.022086451656216196,0.11538227975152594,1.7946483409566512,48.41534001925795
.EUR0210Y U Index,0.017237522472830558,0.02004749421030283,0.02036041773906918,0.005357347238508798,0.04368167489123016,0.007982536783983496,0.11466699333592503,1.7835228234003033,50.19886284265825
GPR,0.018063643285060074,0.03239695344183503,0.004346374575607204,0.021029321513525694,0.0147030733084607,0.023968530584159646,0.11450789670864836,1.7810482449918275,51.97991108765008
OIL,0.018795313666290794,0.03357740363161538,0.004255155116703903,0.033848745513054196,0.009623549151416935,0.01155495315770936,0.11165512023679056,1.7366763486021473,53.716587436252226
SX5E  Index,0.0004720038137776495,0.030056370513157807,0.025436704962908643,0.027285716522595715,0.0015812947191018976,0.025546861653859325,0.11037895218540103,1.7168269152130675,55.433414351465295
US 10Y-03M,0.018034798940296023,0.05186125984660593,0.0008059426048491058,0.007982296210463015,0.0032019895220802975,0.020885892549515034,0.1027721796738094,1.598511679135562,57.03192603060086
ER5  Index,0.030406935140490532,0.013497689738869667,0.0006230529979802668,0.033439021557569504,0.014907452277839184,0.0046409438364207745,0.09751509554916993,1.516743340679509,58.54866937128037
BULL,0.013257561114664492,0.04042516064245532,0.017047267607760878,0.013640653107062344,0.005550249198503871,0.0074018700620640835,0.09732276173251099,1.5137517932276805,60.06242116450805
INF,0.010292987263494324,0.02190759446936676,0.01195068641616972,0.0123574587956532,0.032712732906469776,0.006767252965579596,0.09598871281673337,1.4930020847056171,61.55542324921367
OLE3INDI  Index,0.011286072704249403,0.016771610373743646,0.035207072892711154,0.006954193871133468,0.009308949904241883,0.011650645200616894,0.09117854494669646,1.4181850520878285,62.973608301301496
LEI CHNG  Index,0.013655575749927821,0.03772103695914997,0.02319328828223282,0.007903863223210126,0.001630571647616693,0.005066923884492107,0.08917125974662954,1.3869638709681231,64.36057217226961
EURGBP   Index,0.005043973247859122,0.009849931020564116,0.0016235551406439093,0.020144452151525875,0.007168897632546065,0.04353593772163794,0.08736674691477703,1.3588965978401082,65.71946877010973
GRZEEUEX  Index,0.01354652377629853,0.01079367503480028,0.020587784791075255,0.0240075216799689,0.014572927444461507,0.0008877268392919844,0.08439615956589647,1.3126922788682878,67.03216104897801
BEAR,0.021528688953340435,0.029305931696922596,0.004125351658709863,0.00046216575775334846,0.026981255238553718,0.0008425186206518974,0.08324591192593185,1.2948014032225887,68.3269624522006
OLE3JAPA  Index,0.005165840236110794,0.022915798134659004,0.002358216888361957,0.0014259287152934065,0.036087136852878836,0.011489601280507751,0.07944252210781175,1.23564372977568,69.56260618197628
EU 10Y-03M,0.017186364790363153,0.008264450961347975,0.01759818456262798,0.005377441976576967,0.0044966544326690994,0.021178666001556913,0.07410176272514207,1.152573911895521,70.7151800938718
ER2  Index,0.029383404180407524,0.018904946744441986,0.0008299717446789145,0.009862156584858894,0.008516183122992516,0.006301108747720718,0.07379777112510055,1.1478456466726972,71.86302574054449
NAPMPMI  Index,0.0011320727520107222,0.013418816541157931,0.0060171553218844286,0.030520796437778882,0.008737361505499553,0.013576554087601778,0.07340275664593329,1.1417016176136596,73.00472735815815
NG1  Index,0.00017708486028476377,0.027981777080761817,0.0014861420189169062,0.0067765151050137125,0.017651867940273097,0.016891338519159672,0.07096472552440997,1.10378064294697,74.10850800110512
INFCE1,0.00014932427368148996,0.028793637067617478,0.01885870762131852,0.005038058935767058,0.010823033993179985,0.005699404619219264,0.0693621665107838,1.0788545461383194,75.18736254724344
MOVE  Index,0.016283397345025655,0.02397420771499012,0.004533096542424273,0.015276930386738082,0.0028397761348426457,0.003982137397088975,0.06688954552110973,1.0403955629522599,76.2277581101957
.EURGBP02 U Index,0.023347030526490457,0.0016797863863900757,0.0032906698092234126,0.023892760305440835,0.008743393512274088,0.004830858335909864,0.06578449887572874,1.0232077405840119,77.2509658507797
ER1  Index,0.014403417679043908,0.00031550059714896626,0.006624390037793461,0.019513054965850703,0.020753593853270462,0.00315542922497952,0.06476538635808701,1.0073565319497875,78.25832238272949
NFP_release,0.012348484399731678,0.013011879873853579,0.00534134459070457,0.01964072911283788,0.011817099979835287,0.0021233435354320413,0.06428288149239503,0.9998516832106017,79.2581740659401
EUR009M  Index,0.011119539849460125,0.0018405945738777518,0.01204698160290718,0.005107225384563208,0.02057073637843132,0.009610222652554512,0.0602953004417941,0.9378291115271324,80.19600317746723
UMCSENT,0.002697836810906833,0.01157945192859038,0.0007733744734225562,0.01829737160869001,0.017953266397444257,0.008856040315358572,0.0601573415344126,0.9356833078145903,81.13168648528182
ECMSM2Y  Index,0.002695542649686168,0.014449162927632538,0.016365457168707014,0.012742806849145827,0.011019049539282911,0.002518915634526032,0.059790934768980494,0.9299842412411605,82.06167072652298
.EUR1030Y U Index,0.01169323993977484,0.01505188150922603,0.009768591834499121,0.0003361550603909199,0.006494007644005161,0.014990549510837342,0.05833442549873342,0.9073297924725461,82.96900051899553
EUIPEMUY  Index,0.004892043486978459,0.01490754235779669,0.00838207590839085,0.009551516334173636,0.01338250360194107,0.006499446187382665,0.05761512787666337,0.8961418848763192,83.86514240387184
SX7E  Index,0.019837754176589267,0.0030045866372049117,0.00828292113426919,0.011332797303737263,0.012979510493671671,0.0021460862108231807,0.057583655956295485,0.8956523727103559,84.7607947765822
ER3  Index,0.014486282132565975,0.003445441136136651,0.00616018520668149,0.009185967035591602,0.005726727191358805,0.018505601212382317,0.05751020391471684,0.8945099045181615,85.65530468110036
OLE3CHIN  Index,0.003196716242495463,0.003134729883067259,0.00182653811711302,0.024648737924425974,0.0014701435390575323,0.02274999934868898,0.05702686505484823,0.8869920838887627,86.54229676498912
USURTOT  Index,0.017908973948446708,0.004556933774181365,0.005061607282218905,0.0011778260038257393,0.021145219567599148,0.00592676759248646,0.05577732816875833,0.867556869881772,87.40985363487088
INFE1,0.02002857586763221,0.0034859344211875527,0.00926108610546875,0.004153566065520892,0.0006398720560478577,0.01235923378829879,0.04992826830415605,0.7765809799550887,88.18643461482597
OLE3BRAZ  Index,0.003676077320340729,0.03206757533778313,0.0029201683677695894,0.0021582753914417534,0.008276521126876452,0.00019830335495963305,0.04929692089917128,0.7667610442131082,88.95319565903908
.USDEUR02 U Index,0.001296944280366792,0.02306387147981461,0.005502577603489073,0.0069265624280462745,0.0018754129190307132,0.00902849743838014,0.04769386614912761,0.7418272367530375,89.69502289579212
OLE3EURA  Index,0.005095385419948608,0.011832553050974805,0.00823549084374059,0.005497742514434766,0.008038031418413503,0.008549174191754985,0.04724837743926726,0.73489813485119,90.42992103064331
UNC,0.003709453199281224,0.00592373258801093,0.01149001511316202,0.010265327241703546,0.009628418886536377,0.005491507478359783,0.04650845450705388,0.7233894225463878,91.1533104531897
EUDR1T  Index,0.024603885179412702,0.001027681272150594,0.001809558358157303,0.00913546348578405,0.007305297417988257,0.0022912922115160645,0.04617317792500897,0.7181745527845468,91.87148500597425
IP CHNG  Index,0.023859230383888916,0.0012832932884047634,0.003093424314782648,0.006573215141979173,0.0011058797500573016,0.004631144765444905,0.04054618764455771,0.6306527184687579,92.502137724443
FDTR  Index,0.0028320951137416365,0.0017286890064522145,0.00421264394111419,0.018533479158852565,0.0007700043503324957,0.012167148701233647,0.04024406027172675,0.6259534493125554,93.12809117375556
EURJPY   Index,0.002116839146081507,0.008479739699266759,0.009005767355103514,0.001767849480294246,0.014640653349381066,0.0033786053587751778,0.03938945438890227,0.6126609659859511,93.74075213974152
INJCJC  Index,0.006089110916810285,0.00282567239923858,0.0008727847638424205,0.0005564722487576666,0.010525482513076485,0.017915036405679218,0.03878455924740465,0.6032524669991118,94.34400460674063
UMRTEMU   Index,0.0051695313006191205,0.0050680270607899765,0.00558458376961279,0.014643897527503124,0.0018680648936424404,0.004160302357239492,0.036494406909406946,0.5676315891418149,94.91163619588244
ER4  Index,0.010925295762717724,0.0018955797422677279,0.0010934720048680902,0.009887226857244968,0.0038775112479925156,0.007882156409323215,0.03556124202441424,0.5531172042960864,95.46475340017852
EUUCEMU  Index,0.011956667305160843,0.0007833866843638561,0.007099349946613846,0.000910932913862344,0.0031173323017059254,0.005186589969733084,0.0290542591214399,0.4519080229850214,95.91666142316355
CPTICHNG  Index,0.014136249098246588,0.0019891051633311387,0.0056964187926982395,0.0034622514406161373,0.0018619804425766403,0.0009441332037151587,0.028090138141183902,0.43691214908285886,96.3535735722464
EURUSD   Index,0.0035999719786670363,0.0011626845212693749,0.005794288271525054,0.011807910377135028,0.001530789545474867,0.0029727056143092484,0.02686835030838061,0.41790854201370276,96.77148211426011
VIX  Index,0.0070135648596269425,0.009172208737122324,0.00464310276501986,0.001021760144999808,0.0023143265599693866,0.0009470040623797535,0.025111967129118073,0.39058987431589287,97.162071988576
VIX,0.002144907067778705,0.003326773364793385,0.00798425696989228,0.0030082926230119668,0.00015040698825690002,0.007580112166307458,0.024194749180040692,0.3763235270557052,97.5383955156317
INF_release,0.0040169116636794905,0.008846291603479573,0.0039099601811542345,0.0008503665400210179,0.0039247261909315136,0.001698645921397729,0.023246902100663557,0.3615807763304814,97.89997629196219
GJTB3MO  Index,0.0013980176519590073,0.007671986144390675,0.003390605160071101,0.0019393261683644542,0.00414039324408633,0.0038556786988534113,0.022396007067724977,0.3483460113173445,98.24832230327954
.EURGBP10 U Index,0.0036790305778402906,0.005199171122897394,0.000344068434330548,0.0023919905838023755,0.005950842650643551,0.0022458819127936193,0.01981098528230778,0.30813875359522086,98.55646105687475
CS,0.0034036421358390892,0.0043044701465194245,0.0017791074706852055,0.0015255663320793546,0.0031960680637399307,0.005421934093709535,0.01963078824257254,0.30533598076820995,98.86179703764296
CU_release,0.004871905214575894,0.0018343183582269886,0.001405439765614774,0.004572394916473033,0.00288928789818524,0.003606025862355656,0.019179372015431587,0.2983146826549812,99.16011172029793
