,shap_mean_abs_maturity_1,shap_mean_abs_maturity_2,shap_mean_abs_maturity_3,shap_mean_abs_maturity_4,shap_mean_abs_maturity_5,shap_mean_abs_maturity_6,Total Feature Importance,Total Feature Importance %,Cumulative Feature Importance %
EBBSDEPF  Index,0.050612602581333536,0.08216195921484155,0.12906747618090417,0.06605831547781374,0.01283242022878822,0.21270759678869086,0.553440370472372,9.63618591230498,9.63618591230498
DU1  Index,0.09016539010388608,0.01997425399674808,0.12823209852318873,0.12170071751020398,0.06929176969623024,0.03510565336116336,0.4644698831914204,8.087082879911693,17.723268792216672
RX1  Index,0.049999311566352844,0.011685376986861229,0.044592633843421936,0.02855585142970085,0.07540974766016006,0.05469917878508568,0.2649421002715826,4.613019704425349,22.33628849664202
CPI XYOY  Index,0.00223481991617353,0.0449097824312048,0.04850590250090604,0.08938848288865604,0.02338071649148443,0.03062427378895474,0.23904397801737962,4.1620964719764775,26.498384968618495
EBBSLONG  Index,0.04793254039638365,0.01815236399039405,0.03535415811559991,0.00922746074272571,0.04323636765487512,0.04797918247167025,0.20188207337164868,3.5150547288597465,30.01343969747824
CPEXEMUY  Index,0.0021777804393864108,0.06698967946673899,0.01782877431315049,0.04112964710855687,0.04291823171176171,0.027005529409948256,0.1980496424495427,3.448326642453691,33.461766339931934
EU 10Y-03M,0.02732569110858232,0.001641907524736663,0.043953201173005225,0.007410941383235691,0.07098942589355471,0.010439860399528836,0.16176102748264343,2.8164901177299297,36.27825645766186
ECMSM1Y  Index,0.004813708672889499,0.047619380266041844,0.024235340914890803,0.0034728358326019866,0.0303298253329093,0.030195974138250953,0.14066706515758437,2.4492141591330983,38.72747061679496
ER2  Index,0.01096364355764694,0.01662731512646353,0.03360514865209663,0.01787467293209402,0.026665564974598856,0.029739877892456152,0.13547622313535612,2.3588341987321186,41.08630481552708
UMCSENT,0.00636078985950338,0.037531735582778114,0.046479675451392366,0.007545215760094861,0.03142075710330215,0.005852221279135186,0.13519039503620603,2.3538575240092023,43.44016233953628
ER5  Index,0.03504691751026478,0.003053967754788049,0.025231748281591783,0.03170684483881236,0.007433980114001315,0.012823455678616565,0.11529691417807486,2.0074836593266987,45.44764599886298
GLD,0.01680582865656382,0.07387594598571234,0.00020406345550906156,0.011379100200649576,0.0036189463057918615,0.005800658419364922,0.11168454302359158,1.9445871272230897,47.39223312608607
INF,0.013485544600839741,0.008956477059241892,0.01928930988188685,0.019033666244385215,0.02044635930691253,0.02623888904142377,0.10745024613469,1.8708619813785168,49.263095107464586
INFCE1,0.011465920255321897,0.006461830094697992,0.013269319600085233,0.013170440759660612,0.015487272157053778,0.045353558273883675,0.10520834114070318,1.8318272190583358,51.09492232652292
GRZEEUEX  Index,0.011825362498877274,0.013037424602743791,0.0245767428853221,0.00927462068887914,0.02989248090351325,0.015280011838816185,0.10388664341815172,1.8088145773106703,52.90373690383359
SX5E  Index,0.02960879785700165,0.018834476278491573,0.010545112638007567,0.027933080528093727,0.0036170691833610886,0.006001601992686505,0.09654013847764212,1.6809014520863665,54.58463835591996
.EUR0210Y U Index,0.007755264508887194,0.022018052873935438,0.008691298633824441,0.020540001805674172,0.031715148857928754,0.004419101503475703,0.0951388681837257,1.6565033384213952,56.24114169434135
UNC,0.004427471388749616,0.006178242870908324,0.01689842811177214,0.018466531563083692,0.02844418076259017,0.01800561982661913,0.09242047452372308,1.609172229076664,57.850313923418014
FDTR  Index,0.005254892574708775,0.006897925113497133,0.013980908515804913,0.017034722274261047,0.02283557090656056,0.024960524353170484,0.09096454373800292,1.5838223983177093,59.43413632173572
GPR,0.011567202576093843,0.01920870486887769,0.007414367316125043,0.0004004735062396147,0.012596082745431253,0.03870203366926889,0.08988886468203633,1.5650932923140766,60.999229614049796
UMRTEMU   Index,0.006264740576046857,0.010259870521787723,0.01001295098368163,0.008187441430036966,0.012639724198379554,0.03968905998485615,0.08705378769478889,1.5157305598818611,62.514960173931655
EUR009M  Index,0.008546949364244938,0.011306235566735268,0.005133569240570068,0.01813611574470997,0.025172624737024307,0.01806185394525528,0.08635734859853983,1.5036045622747014,64.01856473620636
OLE3CHIN  Index,0.01031051235292001,0.025902562316993928,0.016434526085945297,0.014114343784361457,0.011783543751472749,0.002351848766424651,0.0808973370581181,1.4085379767960748,65.42710271300243
.EUR1030Y U Index,0.013118970741212857,0.034117058044847166,0.011916130633849345,0.017113093634813566,0.0007804660676129706,0.0030402939122185753,0.08008601303455447,1.3944116688082686,66.8215143818107
US 10Y-03M,0.01901378867632681,0.006677757685159149,0.011345118998592212,0.005578153969536564,0.0316947237068124,0.004576616815470377,0.07888615985189752,1.3735205142188684,68.19503489602957
HSI  Index,0.02085870229877235,0.017915168265586322,0.011367708865057493,0.006293683353402285,0.015567819485140993,0.005158235883727409,0.07716131815168686,1.343488561041438,69.53852345707101
C 1  Index,0.028505114154099967,0.012097485542516082,0.013064009111875555,0.006696008944621126,0.00017591996332598546,0.01475936608039774,0.07529790379683646,1.3110438603780756,70.84956731744909
EURGBP   Index,0.010428644062344436,0.021655388802614514,0.01843332783424888,0.009699015532422698,0.0025225395716419866,0.007809248484784003,0.07054816428805652,1.2283441236339736,72.07791144108306
OLE3US  Index,0.019179571135750986,0.017470184252129966,0.010453484366184002,0.003317777075387836,0.007599351919094316,0.01130565365330464,0.06932602240185175,1.2070648909378972,73.28497633202096
BULL,0.03388234207831732,0.0045003328893168755,0.004052770256142442,0.004149762885637556,0.002540393757719743,0.019249194616735844,0.06837479648386978,1.1905026915044628,74.47547902352542
.EURGBP02 U Index,0.005450881277280325,0.014720874534415281,0.010586658551105618,0.014148545880695538,0.013791334673766014,0.00804756574123558,0.06674586065849836,1.1621405963448785,75.6376196198703
EUGNEMUY  Index,0.006543977384016023,0.015822058259965906,0.010156909544424376,0.0036255898250091736,0.013609838828029531,0.01277870600364567,0.06253707984509067,1.0888597217539577,76.72647934162427
EURCHF   Index,0.022861348486251452,0.007456526882103362,0.010135688228977167,0.016099128715171846,0.004859385200137639,0.0008356509417463906,0.062247728454387856,1.0838217015018092,77.81030104312607
ER4  Index,0.02121824330169781,0.010431515009327775,0.011801663837269933,0.001510884598143424,0.007396269669698086,0.009508066704945646,0.06186664312108267,1.0771864625201515,78.88748750564622
OIL,0.01533313038243884,0.001640561488343475,0.004149820289195773,0.005229189651965333,0.004403205602405554,0.03051996625656488,0.061275873670913854,1.0669003241087487,79.95438782975496
OLE3EURA  Index,0.0018286241415670233,0.017374180984254715,0.005102454899591094,0.010569270742659379,0.016622787544761333,0.007328030983692522,0.05882534929652607,1.0242332009386754,80.97862103069365
ECMSM2Y  Index,0.005121071433160812,0.0067531535132557665,0.0052301708425237375,0.03205056771879423,0.0036705126846555054,0.005667890551828323,0.05849336674421837,1.0184529113820102,81.99707394207566
.USDEUR02 U Index,0.019753508728392648,0.0045646010154142104,0.012957302500691378,0.004581499591233406,0.006007018621224261,0.010188864810819117,0.05805279526777502,1.01078193383651,83.00785587591217
ER3  Index,0.018518870265159585,0.005568360184869644,0.00409819575890486,0.010281592782121152,0.008610185287552391,0.007255790198197439,0.05433299447680508,0.946014898594879,83.95387077450705
EURJPY   Index,0.012098214816523891,0.02489993773911975,0.000989693332580339,0.006407658931044493,0.0012133650369640127,0.004640125076204355,0.05024899493243684,0.8749066438036508,84.82877741831071
BEAR,0.002480718362507463,0.012470392632112083,0.005434214006017459,0.011973449489839064,0.007183395672627464,0.008332863719756873,0.04787503388286041,0.8335725972779807,85.66235001558869
NAPMPMI  Index,0.020452509496615014,0.015619720563611763,0.003922839342776845,0.0010509257198133457,0.0005838170659203432,0.006061286940194171,0.04769109912893149,0.8303700309688401,86.49272004655752
LEI CHNG  Index,0.003458103590198582,0.0007385969939117799,0.0060297520473148215,0.003332463380062198,0.001592865380533829,0.029844792346011673,0.04499657373803288,0.7834545022191689,87.2761745487767
SX7E  Index,0.017980901226330774,0.0010551611657402564,0.006321051454781837,0.001495954769779928,0.012016455086378493,0.005516168025540978,0.04438569172855227,0.7728181754748562,88.04899272425155
NG1  Index,0.004578335990583865,0.0036657877672114855,0.006490085831876643,0.0003298035665882365,0.00837119316663816,0.020180932921131458,0.04361613924402985,0.7594191695371344,88.80841189378869
OLE3INDI  Index,0.012237469544440197,0.00822901628271211,0.01283193286155548,0.0040883566686137456,0.0035815636649865405,0.0009543740708536599,0.04192271309316173,0.7299342058641801,89.53834609965287
OLE3JAPA  Index,0.006465143056795403,0.0075762731288374525,0.0005933400213583203,0.006146343500156284,0.0115076008776007,0.0036494124346008352,0.03593811301934899,0.6257337860920693,90.16407988574494
EURUSD   Index,0.0016222668895719298,0.013773659204370816,0.01018217582701628,0.00026074255713568004,0.0005753568587665695,0.007680926286736401,0.034095127623597676,0.5936447827330179,90.75772466847796
INFE1,0.02264741691407945,0.0008526006199369449,0.004286476725114467,0.0036707077541712242,0.0006033632604902033,0.0014023451830408621,0.033462910456833146,0.5826369804819932,91.34036164895996
.EURGBP10 U Index,0.00564244006488762,0.006691348088170654,0.0028776444544676076,0.00600852092510448,0.0005131192713520464,0.0111307061893988,0.03286377899338121,0.5722052474972696,91.91256689645722
GDP CQOQ Index,0.008636548917958422,0.00014224955239941747,0.010382741043113956,0.003821057008473982,0.0013726632955143887,0.008109486606289547,0.03246474642374971,0.565257521543068,92.4778244180003
