,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,maturity_6
EUDR1T  Index,0.0001466818677812652,0.00017478252558729697,0.0001133193464963877,7.390486691251819e-05,8.823078791030166e-05,0.0001216334759448099
EUR009M  Index,0.0001963820725807735,0.0002336313921015402,0.00019938040721051545,0.0001393626184723865,0.00016525845423876525,0.00018776563420732696
ER1  Index,9.129063108577865e-05,0.0001436441261400682,0.0001064323300062705,9.253814176153109e-05,9.325000887222539e-05,0.00011129725498454336
ER2  Index,0.000141089735733772,0.0001218140427213666,9.398463029925039e-05,9.56586344502977e-05,9.678571995386592e-05,9.213046348724368e-05
ER3  Index,0.00017504553134775575,0.00020951893513747227,0.00017784764603983853,0.00011608661216855322,0.00013120454034599744,9.715627941468985e-05
ER4  Index,9.778458682589495e-05,8.856448477037784e-05,9.558935305931759e-05,7.290684503576963e-05,5.958857233388361e-05,6.0789097558171784e-05
ER5  Index,0.0002147644532972717,0.0001765160937579358,0.00012106814136306765,9.38266271844977e-05,9.132393145980311e-05,4.571550843406711e-05
FDTR  Index,0.0002063978135583252,0.00024519044930009296,0.00018192425486700904,0.00010974572858935255,8.562013291354181e-05,0.00014248556733055306
GJTB3MO  Index,0.00014229373870904732,0.00021219014554829142,0.00020025083382240383,0.00011254472746472278,9.697490922125273e-05,9.527498056980836e-05
DU1  Index,0.00011561744365282227,0.00010704344267152538,8.434097783544824e-05,5.7818975480002324e-05,7.894227400670492e-05,5.295964484043106e-05
RX1  Index,0.0004653044037638594,0.0008649770557757135,0.0006358636669942692,0.0004537522827614948,0.0003701793232963479,0.00027221263731692257
SX5E  Index,0.00015994008918828232,8.646129083781814e-05,9.425386479873468e-05,5.180529593649746e-05,9.428727279511373e-05,3.6597545145138316e-05
SX7E  Index,0.0002525741546080562,0.0002377343091412878,0.00014359017834599094,0.000147854122160398,0.00013371112032613903,9.640557559945098e-05
HSI  Index,0.0002680965111447924,0.00046447784316094886,0.0002789534336802383,0.00019144409755408412,0.00021300802522925105,0.0001769169288372107
EURUSD   Index,0.00015785036477577278,0.0001707670604434778,0.00012518495204253452,9.994448494828e-05,9.411638689510171e-05,7.335480218631224e-05
EURJPY   Index,0.00014719803417247255,0.00013086824198693285,0.00011438402205536292,6.991019214513608e-05,9.236240966496258e-05,7.478034131634145e-05
EURGBP   Index,0.00023815962405798006,0.00036292365590540873,0.00023936432258888572,0.0001235654546105896,8.779304974593035e-05,0.00010229298163863998
