,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,maturity_6
EUDR1T  Index,0.017502228936791653,0.007868302358712147,0.011662280591364834,0.025587444852188737,0.01339809555360019,0.01880277320466727
EUR009M  Index,0.0332043307428424,0.018845494382801312,0.03016370087681086,0.014590662297325254,0.025546865469191594,0.014551787317177513
ER1  Index,0.007699398948624245,0.022210410555135847,0.015638611079236094,0.013214045474043815,0.008677340134817314,0.009409797928346961
ER2  Index,0.007399142875183923,0.025328427160833597,0.016006644856965672,0.018062685570291552,0.03318553128695931,0.009885800749500049
ER3  Index,0.01527169926949379,0.011148672371612824,0.016110711236591062,0.009652642107520175,0.020175765697611495,0.01126280411849196
ER4  Index,0.008655472296841557,0.0077446588603585645,0.005689201616308613,0.01825828244855681,0.011426221463772285,0.012423316168162273
ER5  Index,0.019678796454017478,0.013202583384227182,0.013196078950936982,0.012469653824727476,0.010527050567431917,0.009853302310178454
FDTR  Index,0.012355000657572722,0.011696869725555493,0.013542682103604117,0.020157254883864273,0.013052327929782526,0.014251121333436458
GJTB3MO  Index,0.02938939767381453,0.021190699422283313,0.02599536070870817,0.0082060700490559,0.026703226006470987,0.018484893596831777
DU1  Index,0.020451370156328266,0.016037169621152654,0.015213569266440082,0.03181498797911536,0.016016115628299,0.02682142118274379
RX1  Index,0.12317718886092978,0.18137728548024704,0.1500366022773087,0.7637317984276015,0.4774915572948133,0.4226750215760743
SX5E  Index,0.014752413817472797,0.019877953207250963,0.012325461930394035,0.010145013342143405,0.023565205404379716,0.01789050853907247
SX7E  Index,0.020970126912153015,0.026126287675071583,0.03883943111872213,0.027538006874504695,0.026799704849021506,0.03741045377459765
HSI  Index,0.0554084070784617,0.02045465990898083,0.022118562161533947,0.019792532482887815,0.02961937904750664,0.027444561393371564
EURUSD   Index,0.009035228425830003,0.015555301727019015,0.010962264117929672,0.017630903095966766,0.007433228804095052,0.013994501401779418
EURJPY   Index,0.013826656963649537,0.020892026278035093,0.009056534319770436,0.01018163132147553,0.011424237504276485,0.015260181423664716
EURGBP   Index,0.046648673302008926,0.033709687834683186,0.05988306011383732,0.0332728670986083,0.04830307779057572,0.04853378535022299
EURCHF   Index,0.022524393582809506,0.016520723100298104,0.02195963947158331,0.01558455628986485,0.012502448035308892,0.01067390717363863
